Clan,Escudo,Puesto,Nombre,Trofeos,Donaciones,Rol;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#1,bo sabah,6816,3,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#2,Makarious,6798,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#3,Bo Bader,6769,20,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#4,FINAL FORM,6743,45,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#5,hason 433,6727,64,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#6,RAD,6724,0,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#7,SCARFACE $,6714,0,Líder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#8,Assyrian,6714,39,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#9,RUBÉN,6710,0,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#10,❤ReaperHunter❤,6709,108,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#11,Sub20,6709,10,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#12,Jerem,6703,53,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#13,Thunder,6701,0,Miembro;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#14,iLastDream_YT,6682,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#15,AltesS,6680,24,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#16,「 ᵇᴸᵘᴿᴿᵞ」,6668,20,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#17,비버,6663,166,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#18,bo khaled,6663,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#19,⚡L.O.R.D⚡™,6661,150,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#20,Hawk⚡️,6657,71,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#21,TEMIM,6644,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#22,hongüito,6642,27,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#23,the hell,6627,53,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#24,༺࿅ོི༼ＳＴＯＲＭ༽࿅ོྀ༻,6622,82,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#25,TNT,6584,0,Miembro;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#26,DDaB0ngTV,6578,44,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#27,✨L.O.R.D✨™,6529,136,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#28,letolier,6527,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#29,luminescence,6517,0,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#30,POISON_Q6R~,6495,50,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#31,Happy Noob,6485,10,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#32,Raayz,6453,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#33,MALEK ALGNEMAT,6433,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#34,GodTHChuky™♿,6426,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#35,zaid jasim,6417,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#36,ByBriiaN-_-,6350,16,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#37,YOU AGAIN ?,6348,0,Colíder;
