Puesto,Nombre,Trofeos,Donaciones,Rol
#1,['bo sabah'],['6778'],['0'],['Colíder']
#2,['hason 433'],['6727'],['224'],['Colíder']
#3,['FINAL FORM'],['6696'],['327'],['Colíder']
#4,['⚡L.O.R.D⚡™'],['6661'],['108'],['Colíder']
#5,['❤ReaperHunter❤'],['6660'],['69'],['Colíder']
#6,['AltesS'],['6655'],['0'],['Colíder']
#7,['Happy Noob'],['6652'],['68'],['Colíder']
#8,['Bo Bader'],['6583'],['38'],['Colíder']
#9,['SCARFACE $'],['6569'],['61'],['Líder']
#10,['「 ᵇᴸᵘᴿᴿᵞ」'],['6553'],['102'],['Veterano']
#11,['Jerem'],['6545'],['30'],['Colíder']
#12,['bo khaled'],['6532'],['0'],['Colíder']
#13,['MALEK ALGNEMAT'],['6522'],['0'],['Colíder']
#14,['letolier'],['6515'],['40'],['Colíder']
#15,['Sub20'],['6514'],['0'],['Colíder']
#16,['DUSTIN ☺️'],['6509'],['7'],['Veterano']
#17,['DDaB0ngTV'],['6508'],['399'],['Veterano']
#18,['POISON_Q6R~'],['6495'],['60'],['Colíder']
#19,['the hell'],['6474'],['20'],['Colíder']
#20,['비버'],['6471'],['379'],['Veterano']
#21,['TEMIM'],['6465'],['102'],['Colíder']
#22,['Timy'],['6463'],['0'],['Miembro']
#23,['RainBow'],['6459'],['0'],['Veterano']
#24,['Raayz'],['6453'],['10'],['Colíder']
#25,['GodTHChuky™♿'],['6426'],['8'],['Colíder']
#26,['ByBriiaN-_-'],['6413'],['123'],['Colíder']
#27,['༺࿅ོི༼ＳＴＯＲＭ༽࿅ོྀ༻'],['6402'],['124'],['Colíder']
#28,['Assyrian'],['6399'],['86'],['Colíder']
#29,['✨L.O.R.D✨™'],['6363'],['346'],['Colíder']
#30,['♣️seb♣️'],['6359'],['0'],['Colíder']
#31,['AzizQ8'],['6343'],['186'],['Colíder']
#32,['Hassan'],['6323'],['296'],['Colíder']
#33,['Joker Jr'],['6309'],['24'],['Colíder']
#34,['Iñigo'],['6226'],['0'],['Veterano']
#35,['MAURICIO M'],['6206'],['100'],['Colíder']
#36,['Klaus™'],['6202'],['0'],['Miembro']
#37,['ANONYMUS? ™'],['6135'],['132'],['Colíder']
#38,['☠️BATMAN☠️'],['6113'],['20'],['Colíder']
#39,['TheBosSq8'],['6112'],['10'],['Colíder']
#40,['YOU AGAIN ?'],['6099'],['0'],['Miembro']
#41,['L.O.R.D™'],['6043'],['542'],['Colíder']
#42,['قلق'],['6027'],['40'],['Colíder']
#43,['amer king'],['6026'],['0'],['Colíder']
#44,['◇●☆SAIVERGON☆●◇'],['6025'],['18'],['Colíder']
#45,['The Fall'],['6016'],['68'],['Colíder']
#46,['Youtube Mhero1'],['5919'],['31'],['Colíder']
#47,['hongüito'],['5900'],['130'],['Miembro']
#48,['ALMAHMEED'],['5841'],['10'],['Colíder']
#49,['Atom Ant'],['5634'],['0'],['Colíder']
#1,['贾开富'],['6754'],['10'],['Miembro']
#2,['predator'],['6751'],['0'],['Miembro']
#3,['大凯文'],['6650'],['26'],['Veterano']
#4,['[email\xa0protected]'],['6630'],['110'],['Miembro']
#5,['Lazer'],['6622'],['90'],['Miembro']
#6,['lkjhpoiu'],['6584'],['360'],['Miembro']
#7,['issa'],['6539'],['44'],['Miembro']
#8,['༉杉ྂ菜包༴࿐'],['6505'],['148'],['Miembro']
#9,['行万里路'],['6504'],['13'],['Miembro']
#10,['李孝恭'],['6476'],['1'],['Miembro']
#11,['sayuri'],['6471'],['79'],['Miembro']
#12,['ユイヒイロ'],['6440'],['0'],['Miembro']
#13,['Best Hunter'],['6430'],['0'],['Miembro']
#14,['OP_K'],['6427'],['800'],['Miembro']
#15,['[email\xa0protected]'],['6412'],['343'],['Miembro']
#16,['Tom.Tang'],['6410'],['348'],['Miembro']
#17,['妈妈你别说我小，我会穿衣和洗脚'],['6409'],['235'],['Miembro']
#18,['Jess'],['6402'],['316'],['Miembro']
#19,['江郎'],['6365'],['0'],['Miembro']
#20,['BIG MOM'],['6190'],['0'],['Miembro']
#21,['聖經灬輪迴'],['6176'],['349'],['Miembro']
#22,['戰神勒勒'],['6168'],['356'],['Veterano']
#23,['维奇'],['6110'],['0'],['Miembro']
#24,['学霸小明'],['6079'],['0'],['Miembro']
#25,['朵朵～'],['6067'],['0'],['Miembro']
#26,['TMD 小兔子'],['6042'],['10'],['Veterano']
#27,['Fairy Young'],['6026'],['10'],['Miembro']
#28,['Rüzgar'],['6008'],['20'],['Miembro']
#29,['Tree™⚡️'],['6007'],['0'],['Veterano']
#30,['(~•_•~)! : )'],['5959'],['18'],['Miembro']
#31,['别闹'],['5955'],['30'],['Miembro']
#32,['李老師'],['5855'],['0'],['Miembro']
#33,['☆*:.｡o小孩o｡.:*☆'],['5823'],['0'],['Miembro']
#34,['maya凤凰涅槃'],['5804'],['0'],['Miembro']
#35,['andy'],['5802'],['0'],['Miembro']
#36,['kidkid'],['5648'],['425'],['Miembro']
#37,['treenewbee'],['5620'],['68'],['Miembro']
#38,['YY-love'],['5510'],['60'],['Miembro']
#39,['HURMA™'],['5365'],['0'],['Miembro']
#40,['银河铁道之夜'],['5308'],['0'],['Miembro']
#41,['奸雄'],['5280'],['0'],['Veterano']
#42,['杀手安'],['5213'],['71'],['Líder']
#43,['Moose™️ 姆斯'],['5135'],['0'],['Miembro']
#44,['乃木坂春香'],['4001'],['0'],['Veterano']
#45,['银河铁道之夜的baby'],['4001'],['0'],['Miembro']
#1,['RED LucDubs'],['6607'],['175'],['Colíder']
#2,['Gustavo'],['6501'],['66'],['Miembro']
#3,['سداح'],['6429'],['231'],['Veterano']
#4,['COMMANDER'],['6427'],['154'],['Colíder']
#5,['The Master'],['6413'],['161'],['Veterano']
#6,['Rekkles'],['6400'],['10'],['Miembro']
#7,['COMMANDER'],['6399'],['307'],['Veterano']
#8,['aLahbabi'],['6360'],['795'],['Líder']
#9,['soul uae'],['6307'],['108'],['Colíder']
#10,['CRiMiNAL'],['6305'],['8'],['Veterano']
#11,['Licht70'],['6285'],['386'],['Miembro']
#12,['JeffreyLoayza'],['6282'],['1117'],['Colíder']
#13,['Omar BXB'],['6257'],['270'],['Veterano']
#14,['ショウヤ(・┰・)'],['6212'],['0'],['Miembro']
#15,['SMOKE'],['6209'],['35'],['Veterano']
#16,['✨♊Rayio♊✨'],['6192'],['400'],['Colíder']
#17,['keito'],['6168'],['1488'],['Miembro']
#18,['SF I Eduardo✌️'],['6157'],['94'],['Veterano']
#19,['Abdullah'],['6110'],['428'],['Colíder']
#20,['Cevasthiam'],['6036'],['0'],['Miembro']
#21,['Albayrak'],['6028'],['79'],['Colíder']
#22,['Gustav0'],['6002'],['0'],['Miembro']
#23,['BoS3ood'],['5941'],['310'],['Veterano']
#24,['the mountain'],['5925'],['24'],['Miembro']
#25,['3oss'],['5916'],['0'],['Miembro']
#26,['Lord Fercho'],['5881'],['20'],['Veterano']
#27,['War Machine'],['5865'],['64'],['Colíder']
#28,['❤General'],['5847'],['8'],['Colíder']
#29,['mehdi king'],['5823'],['0'],['Miembro']
#30,['Revolution'],['5822'],['0'],['Veterano']
