Puesto,Nombre,Trofeos,Donaciones,Rol
#1,Lukas3309,5800,487,Líder
#2,anko,5702,1440,Colíder
#3,⚔️Parzival⚔️,5637,610,Veterano
#4,KeOn126,5626,206,Miembro
#5,SirCriwa,5617,88,Veterano
#6,Link,5520,1100,Veterano
#7,JulsiNator,5504,96,Miembro
#8,Luxan,5495,214,Veterano
#9,Magic,5434,338,Veterano
#10,FreshDumbledore,5408,30,Veterano
#11,NAKATOMI,5387,472,Veterano
#12,Hebbe,5382,138,Veterano
#13,Cedimo,5333,772,Veterano
#14,Brain0815,5328,174,Miembro
#15,Tc GEBUMZING,5322,0,Miembro
#16,Fenerdaddy,5316,696,Veterano
#17,Roronoa Zoro,5298,0,Miembro
#18,Opfaklopfa,5293,510,Veterano
#19,noaplayer,5276,420,Veterano
#20,molfa,5274,1626,Colíder
#21,Marcel1337,5265,606,Miembro
#22,CK7,5262,820,Veterano
#23,Navros,5240,467,Veterano
#24,⚜Prince⚜,5233,634,Miembro
#25,hausmann,5231,631,Miembro
#26,D3ko,5222,192,Veterano
#27,v0o0o,5222,238,Colíder
#28,r3vv,5205,1455,Veterano
#29,arix,5205,170,Veterano
#30,Jan,5198,505,Veterano
#31,H3LLK1NG,5178,1601,Veterano
#32,MarsIce,5177,144,Veterano
#33,Sigl,5147,908,Veterano
#34,RudiRandale,5117,736,Miembro
#35,Oliverex,5099,1339,Miembro
#36,goldgeier,5087,30,Veterano
#37,ohshef,5085,166,Miembro
#38,Pauka,5055,308,Miembro
#39,DDBSN !!,5038,30,Miembro
#40,Teddy,5034,60,Veterano
#41,Steuermann Hans,4996,121,Veterano
#42,Neologist,4973,442,Miembro
#43,Alex,4956,310,Miembro
#44,Peti,4904,1188,Miembro
#45,Anh Minh2,4880,523,Miembro
#46,⚽PatzeEssen⚽,4870,514,Miembro
#47,ToastNatter™,4519,0,Miembro
