Clan,Puesto,Nombre,Trofeos,Donaciones,Rol
ＳＴＡＲ✨ＥＬＩＴＥ,#1,bo sabah,6778,10,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#2,hason 433,6727,254,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#3,Bo Bader,6718,48,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#4,SCARFACE $,6714,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#5,FINAL FORM,6696,375,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#6,⚡L.O.R.D⚡™,6661,128,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#7,❤ReaperHunter❤,6660,69,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#8,AltesS,6655,36,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#9,Happy Noob,6652,78,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#10,Assyrian,6625,234,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#11,월드클래스,6623,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#12,TEMIM,6622,102,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#13,MALEK ALGNEMAT,6578,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#14,bo khaled,6550,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#15,Jerem,6545,30,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#16,letolier,6515,40,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#17,Sub20,6514,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#18,DDaB0ngTV,6508,399,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#19,POISON_Q6R~,6495,80,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#20,Gste de Gstes,6478,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#21,the hell,6474,40,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#22,DUSTIN ☺️,6474,27,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#23,Timy,6463,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#24,RainBow,6459,0,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#25,Monkey D. Luffy,6453,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#26,Raayz,6453,10,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#27,Emperor,6428,50,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#28,GodTHChuky™♿,6426,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#29,ByBriiaN-_-,6413,123,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#30,hongüito,6409,130,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#31,Nonow31,6403,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#32,༺࿅ོི༼ＳＴＯＲＭ༽࿅ོྀ༻,6402,124,Líder
ＳＴＡＲ✨ＥＬＩＴＥ,#33,비버,6378,495,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#34,Joker Jr,6309,24,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#35,♣️seb♣️,6307,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#36,AzizQ8,6283,216,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#37,Hassan,6277,296,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#38,Iñigo,6226,0,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#39,「 ᵇᴸᵘᴿᴿᵞ」,6207,172,Veterano
ＳＴＡＲ✨ＥＬＩＴＥ,#40,MAURICIO M,6206,120,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#41,Klaus™,6202,0,Miembro
ＳＴＡＲ✨ＥＬＩＴＥ,#42,✨L.O.R.D✨™,6201,356,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#43,ANONYMUS? ™,6135,132,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#44,TheBosSq8,6112,10,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#45,The Fall,6105,112,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#46,YOU AGAIN ?,6045,0,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#47,قلق,6027,40,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#48,◇●☆SAIVERGON☆●◇,6024,18,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#49,☠️BATMAN☠️,6011,100,Colíder
ＳＴＡＲ✨ＥＬＩＴＥ,#50,Youtube Mhero1,5946,71,Colíder
Q8Team,#1,Nova l Rubén,6702,701,Colíder
Q8Team,#2,corvtte89,6670,10,Colíder
Q8Team,#3,☠AcMiLaN ☠,6649,264,Colíder
Q8Team,#4,Eptic,6524,240,Veterano
Q8Team,#5,mars,6508,8,Miembro
Q8Team,#6,beast,6471,24,Miembro
Q8Team,#7,Latini™,6466,283,Colíder
Q8Team,#8,RUBÉN,6431,76,Veterano
Q8Team,#9,Latini 4,6426,201,Colíder
Q8Team,#10,Nova l Matte™,6418,28,Veterano
Q8Team,#11,マミー,6410,8,Miembro
Q8Team,#12,RedBull™️,6351,412,Colíder
Q8Team,#13,yousefq822',6297,238,Veterano
Q8Team,#14,RedBull,6273,248,Colíder
Q8Team,#15,Latini 3,6146,56,Colíder
Q8Team,#16,TQ ❤Cuchii Cuu❤,6113,67,Veterano
Q8Team,#17,PaTRoN,6088,0,Veterano
Q8Team,#18,Q8Team,6075,792,Líder
Q8Team,#19,⚡️RedBull⚡️,6051,166,Colíder
Q8Team,#20,☆Yousefq822☆,6023,66,Colíder
Q8Team,#21,falco,6022,98,Veterano
Q8Team,#22,✨RedBull✨,5975,326,Colíder
Q8Team,#23,Bu sana 7,5957,138,Veterano
Q8Team,#24,3Ezeli1,5948,46,Miembro
Q8Team,#25,corvtte1™,5926,0,Veterano
Q8Team,#26,corvtte2™,5915,9,Colíder
Q8Team,#27,Toni,5914,0,Colíder
Q8Team,#28,FaithlesX,5905,283,Miembro
Q8Team,#29,ALJASSMY85,5841,458,Veterano
Q8Team,#30,U^ェ^U,5834,48,Miembro
Q8Team,#31,やみひかり,5830,1023,Veterano
Q8Team,#32,わわわ,5817,0,Miembro
Q8Team,#33,初代サタ,5806,0,Miembro
Q8Team,#34,casukiller,5804,48,Miembro
Q8Team,#35,abdallahbohamad,5764,304,Colíder
Q8Team,#36,Will,5739,182,Veterano
Q8Team,#37,Sourosh,5704,34,Miembro
Q8Team,#38,BornFromHell,5703,166,Veterano
Q8Team,#39,faras,5615,42,Colíder
Q8Team,#40,Tommyla,5591,64,Colíder
Q8Team,#41,從小就壞的石頭,5590,150,Veterano
Q8Team,#42,♣ธKญ♣,5535,289,Colíder
Q8Team,#43,KaRaR,5518,544,Colíder
Q8Team,#44,☆Nova I Grey☆,5510,39,Miembro
Q8Team,#45,Ray,5403,58,Miembro
Q8Team,#46,CaptanPrice,5389,383,Colíder
Q8Team,#47,bobby6,5297,526,Veterano
Q8Team,#48,Latini 2,5271,74,Colíder
Q8Team,#49,༺༉༼ KaRaR ༽༉༻,5064,356,Colíder
上海 OP Elite,#1,mars,6508,0,Miembro
上海 OP Elite,#2,旷性怡情,6505,0,Miembro
上海 OP Elite,#3,鱼丸子,6451,400,Veterano
